Type,ID,Date,StartTime,EndTime,Name,Description
job,1,2025-03-29,2025-03-29T09:19:00.000Z,2025-03-29T14:54:00.000Z,Dalda HMI,testing HMI with PLC
job,2,2025-03-28,2025-03-28T11:18:00.000Z,2025-03-28T15:50:00.000Z,Dalda hmi,10 inch hmi design for dalda
job,3,2025-03-28,2025-03-28T09:08:00.000Z,2025-03-28T11:18:00.000Z,box machine,box machine program finalising
job,4,2025-03-27,2025-03-27T11:53:00.000Z,2025-03-27T12:36:00.000Z,servo check,Mitsubishi servo check
job,5,2025-03-27,2025-03-27T10:28:00.000Z,2025-03-27T11:53:00.000Z,Dalda HMI,10 inch hmi design for dalda
job,6,2025-03-27,2025-03-27T09:04:00.000Z,2025-03-27T10:28:00.000Z,Box packing machine,box packing machine program conversion
job,7,2025-03-26,2025-03-26T09:05:00.000Z,2025-03-26T12:37:00.000Z,Dalda HMI,10 inch hmi design for dalda
job,8,2025-03-25,2025-03-25T09:22:00.000Z,2025-03-25T12:41:00.000Z,Dalda HMI,10inch hmi design for dalda
job,9,2025-03-24,2025-03-24T12:08:00.000Z,2025-03-24T12:40:00.000Z,1kg colza,program change in 1kg colza
job,10,2025-03-24,2025-03-24T11:16:00.000Z,2025-03-24T12:08:00.000Z,Dalda HMI,10 inch HMI design for dalda
job,11,2025-03-24,2025-03-24T10:18:00.000Z,2025-03-24T11:16:00.000Z,4g colza,4g colza issues checking
job,12,2025-03-24,2025-03-24T09:19:00.000Z,2025-03-24T10:18:00.000Z,Dalda HMI,10 inch HMI design for dalda
job,13,2025-03-22,2025-03-22T09:29:00.000Z,2025-03-22T12:42:00.000Z,Dalda HMI,10inch HMI design for dalda
job,14,2025-03-21,2025-03-21T12:27:00.000Z,2025-03-21T13:01:00.000Z,1kg cozla,1kg colza issues resolve
job,15,2025-03-21,2025-03-21T10:15:00.000Z,2025-03-21T12:27:00.000Z,Dalda HMI,10inch HMI design for dalda
job,16,2025-03-21,2025-03-21T09:41:00.000Z,2025-03-21T10:15:00.000Z,malmoo printer,online printer check of malmoo
job,17,2025-03-21,2025-03-21T09:28:00.000Z,2025-03-21T09:41:00.000Z,1kg colza,1kg colza issues resolve
job,18,2025-03-19,2025-03-19T12:10:00.000Z,2025-03-19T12:37:00.000Z,Dalda HMI,10inch HMI design for dalda
job,19,2025-03-19,2025-03-19T11:35:00.000Z,2025-03-19T12:10:00.000Z,1kg colza,1kg colza servo issue resolve
job,20,2025-03-19,2025-03-19T09:41:00.000Z,2025-03-19T11:35:00.000Z,Dalda HMI,10inch hmi design for dalda
job,21,2025-03-19,2025-03-19T09:25:00.000Z,2025-03-19T09:41:00.000Z,4g colza,took update of 4g colza to see if any change is needed
job,22,2025-03-18,2025-03-18T10:42:00.000Z,2025-03-18T12:55:00.000Z,Dalda HMI,changing HMI design for 10inch HMI
job,23,2025-03-18,2025-03-18T09:05:00.000Z,2025-03-18T10:42:00.000Z,4g colza,4g colza program testing and editing
job,24,2025-03-17,2025-03-17T09:32:00.000Z,2025-03-17T12:40:00.000Z,4g colza,4g plc program testing
job,25,2025-03-14,2025-03-14T09:01:00.000Z,2025-03-14T12:50:00.000Z,4g Colza,4g colza program testing and editing
job,26,2025-03-13,2025-03-13T11:38:00.000Z,2025-03-13T12:41:00.000Z,Xinje Weight module,Assessing xinje weight module compatibility with our PLCs
job,27,2025-03-13,2025-03-13T09:09:00.000Z,2025-03-13T11:38:00.000Z,4g colza,program download and testing
job,28,2025-03-12,2025-03-12T10:01:00.000Z,2025-03-12T12:37:00.000Z,4g colza,4g colza cup dozer program-re checking and editing
job,29,2025-03-12,2025-03-12T09:14:00.000Z,2025-03-12T10:01:00.000Z,1kg colza,downloading program in 1kg colza
job,30,2025-03-11,2025-03-11T10:45:00.000Z,2025-03-11T12:42:00.000Z,HMI Cable,HMI cable testing and correction fatek to wecon for demand
job,31,2025-03-11,2025-03-11T09:22:00.000Z,2025-03-11T10:44:00.000Z,4g Colza,working on 4g colza PLC and HMI program
session,2025-03-29,2025-03-29,2025-03-29T09:18:00.000Z,2025-03-29T14:54:00.000Z,,
session,2025-03-28,2025-03-28,2025-03-28T09:08:00.000Z,2025-03-28T15:50:00.000Z,,
session,2025-03-27,2025-03-27,2025-03-27T09:04:00.000Z,2025-03-27T12:36:00.000Z,,
session,2025-03-26,2025-03-26,2025-03-26T09:04:00.000Z,2025-03-26T12:37:00.000Z,,
session,2025-03-25,2025-03-25,2025-03-25T09:16:00.000Z,2025-03-25T12:41:00.000Z,,
session,2025-03-24,2025-03-24,2025-03-24T09:18:00.000Z,2025-03-24T12:40:00.000Z,,
session,2025-03-22,2025-03-22,2025-03-22T09:29:00.000Z,2025-03-22T12:42:00.000Z,,
session,2025-03-21,2025-03-21,2025-03-21T09:28:00.000Z,2025-03-21T13:01:00.000Z,,
session,2025-03-19,2025-03-19,2025-03-19T09:25:00.000Z,2025-03-19T12:37:00.000Z,,
session,2025-03-18,2025-03-18,2025-03-18T09:05:00.000Z,2025-03-18T12:55:00.000Z,,
session,2025-03-17,2025-03-17,2025-03-17T09:31:00.000Z,2025-03-17T12:40:00.000Z,,
session,2025-03-14,2025-03-14,2025-03-14T09:00:00.000Z,2025-03-14T12:50:00.000Z,,
session,2025-03-13,2025-03-13,2025-03-13T09:09:00.000Z,2025-03-13T12:41:00.000Z,,
session,2025-03-12,2025-03-12,2025-03-12T09:13:00.000Z,2025-03-12T12:37:00.000Z,,
session,2025-03-11,2025-03-11,2025-03-11T09:19:00.000Z,2025-03-11T12:42:00.000Z,,
